# Formato: NOME_DO_MATERIAL|CATEGORIA
# Linhas com # são ignoradas

ALCOOL SWAB|CONSUMO
BOBINA DROP FLAT 1F 1000M|CABO FIBRA
BUCHA 6MM|FIXAÇÃO
CABO UTP 100% COBRE|CABO REDE
CABO UTP BRANCO / COMODATO|CABO REDE
CABO UTP BRANCO / VENDA|CABO REDE
CABO UTP PRETO / COMODATO|CABO REDE
CABO UTP PRETO / VENDA|CABO REDE
CAMERA CRAFTSMAN BULLET 2.8mm 5MP|CFTV
CAMERA CRAFTSMAN DOME 2.8mm 5MP|CFTV
CAMERA HDCAM BULLET 2.8mm 3MP|CFTV
CAMERA UBNT G3|CFTV
CONECTOR APC|FIBRA
CONECTOR RJ-45|REDE
CONECTOR UPC|FIBRA
D-LINK AC 1200 DIR-815|ROTEADOR
DLINK DIR-610|ROTEADOR
DLINK DIR-611|ROTEADOR
DLINK DIR-615|ROTEADOR
FITA ISOLANTE 20m|CONSUMO
FIXA CABO BRANCO|FIXAÇÃO
FIXA CABO PRETO|FIXAÇÃO
FONTE 12V 0,5A|FONTE
FONTE 12V 1,5A|FONTE
FONTE 12V 1A|FONTE
FONTE 12V 2.5A|FONTE
FONTE 12V 2A|FONTE
FONTE 24V 2.5A PARA RB|FONTE
FONTE DLINK 12V 0.5A|FONTE
FONTE DLINK 12V 1A|FONTE
HAP LITE|ROTEADOR
HUAWEI EG 4PT|ONU
HUAWEI EG8145|ONU
HUAWEI HG8310M|ONU
HUAWEI HS 5V 4PT|ONU
HUAWEI HS V5 4PT|ONU
HUAWEI HS8145|ONU
INTELBRAS ACTION R1200|ROTEADOR
INTELBRAS ACTION RG 200|ROTEADOR
INTELBRAS IWR3000N|ROTEADOR
LHG 5|RÁDIO
MESH ROUTER|ROTEADOR
NANO BEAM|RÁDIO
NANO M2|RÁDIO
NANO M3|RÁDIO
NANO M5|RÁDIO
ONU CDAT AX 4P|ONU
ONU EPON|ONU
ONU FIBER HOME|ONU
ONU V-SOLUTION GPON 4P|ONU
ONU V-SOLUTION MONU 4P|ONU
ONU V-SOLUTION GPON 2P|ONU
ONU XPON|ONU
PAR DE CONECTORES PLUG P4|ENERGIA
PARAFUSO 8MM|FIXAÇÃO
PARAFUSO 6MM|FIXAÇÃO
PARAFUSO/BUCHA 10mm|FIXAÇÃO
PATCH CORD|FIBRA
RB 760iGS|ROTEADOR
RB HEX POE 960PGS|ROTEADOR
RB-912|RÁDIO
RB951G - 2HnD|ROTEADOR
ROTEADOR DLINK AC1200 DIR-842|ROTEADOR
ROTEADOR DLINK AC750 DIR-819|ROTEADOR
ROTEADOR WIFI TENDA AC5 AC1200|ROTEADOR
SWITCH ADAPTADO INTELBRAS SF800Q+|SWITCH
SWITCH MERCUSYS 8-PORTAS 10/100/1000Mbps|SWITCH
SWITCH POE AI.POE|SWITCH
SXT|RÁDIO
UBIQUITI UNIFI 6 LONG-RANGE|ACCESS POINT
UBNT 24V|FONTE
UBNT 24V-GIGA|FONTE
UBNT 25V|FONTE
UBNT 48V|FONTE
UBNT 48V-GIGA|FONTE
UNIFI AC LITE|ACCESS POINT
UNIFI AP|ACCESS POINT
UNIFI U6-LR|ACCESS POINT
UNIFI UAP-AC-LR|ACCESS POINT
UNIFI UAP-AC-M|ACCESS POINT
UNIFI UAP-FLEXHD|ACCESS POINT

